internal_temp8_2,Seconds8_2,TC1_8_2,TC3_8_2,TC4_8_2,TC5_8_2,TC7_8_2,TC8_8_2,TC9_8_2
37.56,182.0,219.45,202.51,200.28,200.34,200.84,202.62,205.12
37.56,182.25,219.23,202.01,200.28,200.67,201.06,203.06,205.12
37.56,182.5,219.12,201.51,200.4,201.17,201.34,203.73,205.17
37.62,182.75,218.78,201.06,200.51,201.45,201.62,204.17,205.23
37.62,183.0,218.62,200.62,200.62,201.84,202.23,204.56,205.28
37.62,183.25,218.4,200.28,200.73,202.06,202.62,205.01,205.4
37.62,183.5,218.28,200.23,200.95,202.28,202.95,205.28,205.62
37.67,183.75,218.23,200.28,201.17,202.34,203.17,205.4,205.78
37.67,184.0,218.23,200.95,201.51,202.28,203.28,205.45,206.17
37.67,184.25,218.17,201.78,201.78,202.23,203.23,205.45,206.51
37.67,184.5,218.06,202.51,202.28,202.23,203.06,205.34,206.9
37.73,184.75,218.01,203.23,202.78,202.17,202.9,205.34,207.28
37.73,185.0,217.78,203.4,203.67,202.17,202.73,205.28,207.56
37.78,185.25,217.84,203.4,204.34,202.28,202.67,205.23,207.67
37.78,185.5,217.95,203.17,204.78,202.4,202.78,205.34,207.9
37.78,185.75,218.17,202.73,205.06,202.62,203.01,205.45,207.95
37.78,186.0,218.34,202.34,204.95,203.06,203.17,205.56,208.01
37.78,186.25,218.51,201.95,204.78,203.67,203.56,205.78,208.01
37.84,186.5,218.78,201.62,204.62,204.12,204.06,206.01,208.01
37.84,186.75,219.06,201.4,204.56,204.51,204.28,206.23,208.06
37.9,187.0,219.17,201.17,204.51,204.78,204.51,206.51,208.12
37.9,187.25,219.56,201.06,204.4,204.84,204.62,206.67,208.28
37.9,187.5,219.84,200.9,204.45,204.84,204.56,206.78,208.4
37.9,187.75,220.12,200.78,204.45,204.78,204.56,206.67,208.62
37.95,188.0,220.45,200.78,204.62,204.62,204.51,206.67,208.95
37.95,188.25,221.23,200.84,204.95,204.62,204.45,206.67,209.34
38.01,188.5,221.9,200.84,205.4,204.51,204.4,206.56,209.62
38.01,188.75,222.34,200.84,206.01,204.56,204.17,206.56,209.9
38.01,189.0,222.34,201.06,206.51,204.78,204.01,206.84,210.17
38.01,189.25,222.01,200.9,206.67,204.95,203.78,207.06,210.17
38.06,189.5,221.9,201.06,206.62,205.28,203.56,207.28,210.23
38.06,189.75,221.67,201.01,206.56,205.62,203.56,207.62,210.28
38.12,190.0,221.51,201.12,206.4,205.84,203.45,207.95,210.23
38.12,190.25,221.23,201.28,206.23,205.95,203.4,208.23,210.28
38.12,190.5,221.23,201.51,206.17,206.01,203.34,208.34,210.34
38.12,190.75,221.12,201.84,206.17,206.01,203.34,208.45,210.56
38.12,191.0,221.01,202.45,206.23,205.9,203.4,208.51,210.73
38.17,191.25,221.12,203.17,206.45,205.84,203.34,208.45,210.95
38.17,191.5,221.23,204.01,206.78,205.84,203.4,208.34,211.17
38.17,191.75,221.34,204.56,207.23,205.84,203.4,208.34,211.34
38.23,192.0,221.51,204.84,207.67,205.95,203.4,208.34,211.45
38.23,192.25,221.62,205.06,208.12,206.28,203.56,208.34,211.56
38.23,192.5,221.62,205.06,208.17,206.78,203.78,208.4,211.62
38.28,192.75,221.62,204.95,208.17,207.28,204.12,208.67,211.62
38.28,193.0,221.51,204.56,208.06,207.56,204.45,208.84,211.56
38.28,193.25,221.56,204.28,207.95,207.9,204.9,209.12,211.73
38.34,193.5,221.4,204.06,207.78,208.01,205.28,209.23,211.73
38.34,193.75,221.23,203.84,207.67,207.95,205.62,209.28,211.78
38.34,194.0,221.34,203.78,207.62,207.78,205.95,209.28,211.84
38.4,194.25,221.45,203.78,207.78,207.67,206.4,209.34,212.17
38.4,194.5,221.67,204.06,208.01,207.56,206.56,209.34,212.4
38.4,194.75,221.78,204.67,208.23,207.45,206.73,209.34,212.67
38.45,195.0,222.28,205.56,208.62,207.34,206.78,209.28,212.84
38.45,195.25,223.06,206.51,209.17,207.28,206.73,209.34,213.01
38.51,195.5,223.4,207.4,209.4,207.51,206.78,209.56,213.23
38.51,195.75,223.23,207.78,209.4,207.78,206.56,209.78,213.17
38.51,196.0,223.01,208.01,209.4,208.06,206.62,210.12,213.12
38.56,196.25,222.9,207.84,209.23,208.28,206.62,210.56,213.12
38.56,196.5,222.67,207.34,209.17,208.45,206.62,210.73,213.01
38.56,196.75,222.67,206.84,209.06,208.56,206.78,210.9,213.12
38.56,197.0,222.56,206.51,208.9,208.56,206.84,210.9,213.23
38.62,197.25,222.62,206.4,209.01,208.67,207.28,210.9,213.34
38.62,197.5,222.62,206.34,209.06,208.56,207.78,210.84,213.56
38.62,197.75,222.78,206.84,209.17,208.51,208.06,210.78,213.78
38.67,198.0,222.78,207.4,209.62,208.51,208.28,210.84,213.95
38.67,198.25,223.01,208.12,210.28,208.62,208.45,211.01,214.12
38.73,198.5,223.01,208.51,210.78,208.9,208.56,211.06,214.23
38.73,198.75,223.01,208.62,210.9,209.17,208.4,211.12,214.12
38.73,199.0,223.01,208.62,211.01,209.78,208.34,211.28,214.12
38.78,199.25,222.84,208.56,210.95,210.23,208.23,211.56,214.12
38.78,199.5,222.73,208.45,210.78,210.56,208.23,211.73,214.12
38.78,199.75,222.45,208.12,210.62,210.78,208.28,211.95,214.17
38.84,200.0,222.4,207.78,210.56,210.78,208.34,212.06,214.23
38.9,200.25,222.4,207.56,210.4,210.78,208.56,212.17,214.51
38.9,200.5,222.45,207.45,210.34,210.78,208.78,212.17,214.73
38.95,200.75,222.62,207.51,210.4,210.56,209.06,212.12,215.06
38.95,201.0,222.62,207.67,210.56,210.51,209.28,212.17,215.34
38.95,201.25,222.9,208.34,210.9,210.34,209.45,212.06,215.56
