internal_temp11_2,Seconds11_2,TC1_11_2,TC3_11_2,TC4_11_2,TC5_11_2,TC6_11_2,TC7_11_2,TC8_11_2,TC9_11_2
22.95,73.0,163.62,106.17,117.56,116.23,124.78,99.45,120.51,127.9
22.95,73.25,163.45,105.12,117.28,116.62,123.23,101.28,120.56,128.06
22.95,73.5,163.51,104.51,117.23,116.73,122.06,103.45,120.23,128.4
22.95,73.75,163.45,104.62,117.4,116.45,122.56,105.4,119.95,129.01
22.95,74.0,163.73,105.62,118.06,116.12,125.73,106.9,119.56,129.84
22.95,74.25,163.73,108.17,119.17,115.78,128.73,107.95,119.56,130.62
22.95,74.5,163.67,110.56,121.17,115.51,130.17,108.51,119.51,131.06
22.95,74.75,163.4,112.45,123.23,115.34,130.95,108.56,119.67,131.12
22.95,75.0,163.56,113.9,124.84,115.95,130.62,108.45,120.17,131.12
22.95,75.25,163.73,114.45,125.34,117.12,130.28,108.17,120.67,130.95
22.95,75.5,163.56,114.23,125.28,119.17,129.84,107.9,121.34,130.62
22.95,75.75,163.34,113.9,124.78,120.73,129.12,108.12,122.12,130.51
22.95,76.0,162.9,112.9,124.17,121.73,128.01,108.56,122.56,130.62
22.95,76.25,162.4,111.56,123.34,122.01,126.78,109.12,122.84,130.78
22.95,76.5,162.01,110.56,122.73,122.06,126.06,109.9,122.95,131.17
22.95,76.75,162.01,109.78,122.28,121.95,126.45,110.9,122.95,131.95
22.95,77.0,162.23,109.4,122.06,121.56,129.56,112.23,122.9,132.95
22.95,77.25,162.78,109.73,122.34,121.06,133.12,113.23,122.73,133.9
23.01,77.5,163.28,111.56,122.95,120.51,137.12,113.78,122.73,134.73
22.95,77.75,165.28,115.01,124.4,120.12,140.34,113.9,122.9,135.28
23.01,78.0,167.78,118.34,125.73,119.95,142.84,113.67,123.17,135.4
22.95,78.25,168.78,120.78,126.23,120.12,144.06,113.4,123.56,135.34
23.01,78.5,168.95,122.23,126.45,120.51,143.84,113.12,124.45,135.17
23.01,78.75,168.62,123.06,126.56,121.45,142.95,113.06,125.45,134.95
23.01,79.0,168.17,122.67,126.12,122.17,141.17,113.01,126.12,134.73
23.01,79.25,167.56,121.62,125.73,122.9,138.51,113.12,126.73,134.62
23.01,79.5,166.73,120.28,125.34,123.34,135.62,113.73,127.23,134.51
23.01,79.75,166.4,118.67,125.01,123.62,133.4,114.67,127.45,134.67
23.01,80.0,166.28,117.23,124.84,123.56,131.62,116.28,127.51,135.17
23.01,80.25,166.51,116.51,124.78,123.4,131.4,117.62,127.4,135.78
23.01,80.5,166.78,116.45,125.01,123.28,133.73,118.84,127.12,136.4
23.01,80.75,166.45,116.78,125.4,123.12,136.06,119.28,126.73,136.84
23.01,81.0,166.34,118.4,126.17,122.9,137.67,119.51,126.23,137.23
23.01,81.25,166.4,119.9,127.17,122.73,137.9,119.23,125.9,137.45
23.01,81.5,166.9,120.78,127.67,122.45,138.34,118.9,125.56,137.4
23.01,81.75,167.06,121.78,127.84,122.12,137.45,118.56,125.23,137.28
23.01,82.0,167.17,122.06,128.01,121.95,137.12,118.4,125.06,137.12
23.01,82.25,167.17,121.95,127.73,121.56,136.28,118.4,124.78,136.84
23.01,82.5,166.9,121.45,127.51,121.34,136.01,118.73,124.73,136.62
23.01,82.75,166.62,120.45,127.23,121.12,134.84,119.12,124.56,136.28
23.01,83.0,166.51,119.67,126.84,120.9,134.23,119.78,124.51,135.95
23.01,83.25,166.34,119.01,126.4,120.78,135.06,120.78,124.4,135.45
23.01,83.5,166.23,118.56,126.01,120.73,137.4,121.73,124.4,135.01
23.01,83.75,166.06,119.12,125.78,120.78,141.34,122.28,124.45,134.67
23.01,84.0,166.51,120.73,125.45,120.9,144.67,122.73,124.62,134.45
23.01,84.25,168.9,123.23,125.17,121.23,146.78,122.73,124.78,134.01
23.01,84.5,170.84,126.12,124.95,121.56,148.56,122.62,125.01,133.73
23.01,84.75,171.45,128.06,124.67,122.01,148.95,122.4,125.4,133.45
23.01,85.0,171.23,129.34,124.51,122.56,148.34,122.12,125.95,133.23
23.01,85.25,171.01,129.95,124.34,123.34,145.73,122.06,126.62,133.12
23.01,85.5,170.67,129.06,124.17,124.28,142.95,122.01,127.56,133.01
23.01,85.75,170.28,128.17,124.28,125.01,140.45,122.28,128.56,132.95
23.01,86.0,169.73,126.9,124.28,126.06,139.4,122.9,129.95,132.9
