internal_temp2_2,Seconds2_2,TC1_2_2,TC3_2_2,TC4_2_2,TC5_2_2,TC7_2_2,TC8_2_2,TC9_2_2
32.51,0.0,46.95,23.17,26.9,26.67,24.06,28.78,27.9
32.51,0.25,52.01,23.17,27.17,26.67,24.12,28.95,28.23
32.51,0.5,57.62,23.28,27.34,26.73,24.12,28.95,28.51
32.51,0.75,62.45,23.28,27.51,26.9,24.17,29.01,28.73
32.51,1.0,67.01,23.34,27.78,27.01,24.23,29.23,28.95
32.51,1.25,70.9,23.34,27.95,27.12,24.34,29.28,29.28
32.51,1.5,74.34,23.34,28.12,27.34,24.34,29.45,29.45
32.51,1.75,78.28,23.4,28.23,27.4,24.34,29.62,29.67
32.51,2.0,81.95,23.51,28.45,27.62,24.45,29.9,30.06
32.51,2.25,84.9,23.4,28.56,27.62,24.4,29.9,30.23
32.51,2.5,87.84,23.51,28.78,27.73,24.45,30.06,30.51
32.51,2.75,90.23,23.56,28.78,27.78,24.56,30.17,30.84
32.51,3.0,92.28,23.62,29.01,28.01,24.62,30.28,31.06
32.51,3.25,94.12,23.67,29.12,28.06,24.73,30.34,31.34
32.51,3.5,96.17,23.95,29.23,28.06,24.95,30.45,31.62
32.51,3.75,97.78,24.12,29.4,28.23,25.01,30.51,31.84
32.51,4.0,99.06,24.4,29.45,28.23,25.06,30.45,32.06
32.51,4.25,100.67,24.67,29.62,28.23,25.01,30.34,32.23
32.51,4.5,101.56,25.01,29.78,28.34,25.17,30.62,32.4
32.51,4.75,101.4,25.34,30.06,28.51,25.23,30.78,32.62
32.51,5.0,101.17,25.45,30.23,28.51,25.28,30.95,32.84
32.51,5.25,102.12,25.56,30.4,28.62,25.34,31.12,33.06
32.51,5.5,102.73,25.9,30.56,28.67,25.4,31.28,33.28
32.51,5.75,104.23,26.01,30.73,28.78,25.45,31.45,33.56
32.51,6.0,104.95,26.28,30.9,28.84,25.51,31.51,33.73
32.51,6.25,105.06,26.4,31.01,28.95,25.78,31.67,34.06
32.51,6.5,105.28,26.51,31.06,29.01,26.01,31.73,34.23
32.45,6.75,105.45,26.62,31.12,29.12,26.17,31.78,34.34
32.45,7.0,106.17,26.73,31.17,29.17,26.56,32.01,34.56
32.45,7.25,106.34,26.78,31.23,29.28,26.78,32.12,34.73
32.45,7.5,107.06,26.9,31.28,29.4,26.95,32.28,34.9
32.51,7.75,107.95,26.95,31.45,29.56,27.23,32.4,35.17
32.45,8.0,108.45,26.9,31.51,29.51,27.45,32.4,35.28
32.45,8.25,109.23,26.95,31.62,29.67,27.78,32.56,35.45
32.45,8.5,110.06,27.12,31.73,29.84,27.95,32.67,35.73
32.45,8.75,110.51,27.06,31.84,29.9,28.17,32.84,35.9
32.45,9.0,110.78,27.28,31.95,30.06,28.34,32.9,36.12
32.45,9.25,111.67,27.34,32.06,30.28,28.4,32.95,36.34
32.45,9.5,112.01,27.45,32.17,30.51,28.56,32.95,36.56
32.45,9.75,112.17,27.51,32.23,30.51,28.62,33.06,36.67
32.45,10.0,112.28,27.56,32.28,30.62,28.78,33.23,36.78
32.45,10.25,112.34,27.51,32.28,30.62,28.78,33.23,36.84
32.45,10.5,113.06,27.62,32.45,30.78,28.95,33.4,37.06
32.45,10.75,114.23,27.78,32.45,30.84,29.12,33.56,37.17
32.45,11.0,114.62,27.95,32.67,31.17,29.23,33.78,37.4
32.45,11.25,115.28,28.06,32.73,31.17,29.45,33.95,37.51
32.45,11.5,116.12,28.23,32.84,31.34,29.51,34.01,37.62
32.45,11.75,116.34,28.28,32.84,31.51,29.62,34.17,37.73
32.45,12.0,116.51,28.45,33.06,31.56,29.73,34.34,38.06
32.45,12.25,116.28,28.51,33.06,31.62,29.73,34.4,38.17
32.45,12.5,115.56,28.51,33.23,31.62,29.78,34.56,38.34
32.45,12.75,115.67,28.51,33.34,31.78,29.9,34.67,38.51
32.45,13.0,115.73,28.73,33.45,31.9,30.01,34.78,38.62
32.45,13.25,115.28,28.67,33.56,32.01,30.06,35.01,38.73
32.45,13.5,115.62,28.67,33.67,32.06,30.12,35.12,38.95
32.45,13.75,116.12,28.67,33.78,32.12,30.17,35.17,39.06
32.45,14.0,116.12,28.67,33.9,32.12,30.23,35.28,39.34
32.45,14.25,116.62,28.78,34.12,32.28,30.34,35.45,39.51
32.45,14.5,116.9,28.78,34.17,32.34,30.34,35.51,39.67
32.45,14.75,116.95,28.84,34.28,32.4,30.45,35.62,39.73
32.45,15.0,117.23,28.95,34.45,32.62,30.56,35.78,39.84
32.45,15.25,117.06,29.12,34.56,32.78,30.67,36.06,40.01
32.4,15.5,116.95,29.12,34.62,32.9,30.78,36.23,40.12
32.4,15.75,117.4,29.23,34.73,32.95,30.84,36.56,40.28
32.4,16.0,117.95,29.23,34.84,33.06,30.9,36.73,40.4
32.4,16.25,118.45,29.23,35.01,33.23,31.01,36.9,40.67
32.4,16.5,118.9,29.4,35.17,33.34,31.01,36.95,40.78
32.4,16.75,119.34,29.4,35.17,33.4,31.01,37.01,40.95
32.4,17.0,119.95,29.34,35.28,33.4,31.12,37.12,41.01
32.4,17.25,120.34,29.56,35.45,33.56,31.34,37.4,41.23
32.4,17.5,120.62,29.51,35.51,33.62,31.45,37.56,41.45
32.4,17.75,121.12,29.45,35.56,33.73,31.51,37.67,41.56
32.4,18.0,121.95,29.56,35.67,33.84,31.51,37.73,41.73
32.4,18.25,121.73,29.67,35.9,33.95,31.67,37.73,42.06
32.4,18.5,121.95,29.73,36.06,34.01,31.73,37.9,42.23
32.4,18.75,121.95,29.84,36.17,34.12,31.73,37.95,42.34
32.4,19.0,121.56,29.9,36.12,34.23,31.73,38.12,42.56
32.4,19.25,122.4,29.9,36.12,34.34,31.78,38.34,42.67
32.4,19.5,122.67,30.01,36.34,34.62,31.78,38.45,42.73
32.4,19.75,123.12,30.17,36.45,34.9,31.9,38.62,42.78
32.4,20.0,123.4,30.28,36.62,34.95,31.9,38.84,42.95
32.4,20.25,123.84,30.4,36.73,35.12,31.95,38.95,43.06
32.4,20.5,123.95,30.51,36.73,35.17,32.06,39.17,43.17
32.4,20.75,123.84,30.62,36.78,35.23,32.17,39.23,43.34
32.4,21.0,124.28,30.73,37.01,35.34,32.23,39.4,43.4
32.4,21.25,124.28,30.78,37.12,35.45,32.23,39.51,43.62
32.4,21.5,123.95,30.78,37.28,35.56,32.4,39.51,43.73
32.4,21.75,124.12,30.9,37.51,35.9,32.51,39.67,43.78
32.4,22.0,124.62,30.95,37.62,36.01,32.51,39.67,43.95
32.4,22.25,124.45,31.12,37.73,36.17,32.51,39.73,43.9
32.4,22.5,124.78,31.23,37.9,36.34,32.73,39.9,44.06
32.4,22.75,125.01,31.28,38.01,36.51,32.84,40.06,44.28
32.4,23.0,125.45,31.34,38.12,36.62,32.95,40.23,44.45
32.4,23.25,125.62,31.45,38.23,36.67,33.06,40.34,44.51
32.4,23.5,125.45,31.45,38.28,36.78,33.12,40.34,44.56
32.4,23.75,125.67,31.56,38.28,36.95,33.12,40.45,44.56
32.4,24.0,125.45,31.51,38.17,37.01,33.17,40.56,44.56
32.4,24.25,125.95,31.67,38.28,37.23,33.28,40.9,44.73
32.4,24.5,126.62,31.78,38.28,37.28,33.28,41.01,44.84
32.4,24.75,127.34,32.12,38.45,37.67,33.45,41.34,45.06
32.34,25.0,127.45,32.17,38.62,37.84,33.56,41.62,45.28
32.4,25.25,127.73,32.17,38.67,38.06,33.56,41.73,45.34
32.34,25.5,127.78,32.28,39.01,38.45,33.73,42.12,45.45
32.34,25.75,128.84,32.34,39.23,38.62,33.73,42.51,45.62
32.34,26.0,129.06,32.51,39.45,39.01,33.78,42.67,45.84
32.34,26.25,129.28,32.62,39.73,39.34,33.84,42.84,46.01
