LDD test_1,LDD test_2,HHG_1,HHG_2,Cond.1_1,Cond.1_2,Cond.2_1,Cond.2_2,Cond.3_1,Cond.3_2,Cond.4_1,Cond.4_2,Cond.5_1,Cond.5_2,Cond.6_1,Cond.6_2,Cond.7_1,Cond.7_2,Cond.8_1,Cond.8_2,Cond.9_1,Cond.9_2
291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25,291.25
291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5
291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75,291.75
292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0
292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25,292.25
292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5,292.5
292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75,292.75
293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0
293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25,293.25
293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5,293.5
293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75
294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25
294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5
294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75
295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0
295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25,295.25
295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5,295.5
295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75,295.75
